iso3,year,obesity
LBY,2013,23.240198
ERI,2014,1.6115475
ZAF,2018,29.859245
ZWE,1991,5.7356302
SLE,1999,1.3103818
MAR,2009,20.69651
CMR,2016,17.535746
RWA,1996,0.3265952
DJI,2006,5.3644717
COD,2017,3.4185506
CPV,2011,10.988255
ERI,2011,3.5032023
KEN,1996,4.6229303
COD,2004,2.9855983
TUN,2006,11.659428
BWA,2020,26.168311
MRT,1994,6.1423957
NER,1996,2.059162
DZA,2006,8.694879
SSD,2007,5.8351029
SEN,2006,6.3335948
GHA,2008,14.227596
NER,1997,0.83817597
BWA,2005,4.5777619
BWA,1992,6.7462161
SOM,1996,1.3417118
AGO,2017,14.146289
MAR,2007,19.491319
CPV,1995,6.4546421
LSO,2017,6.3366055
AGO,2004,6.4557813
TGO,2014,3.8934652
MOZ,2004,5.3775627
GNQ,2010,22.200868
MLI,2016,10.029348
LSO,2018,29.781947
ZAF,1990,24.902353
BWA,2011,5.7871167
GHA,2001,10.151943
DZA,2017,21.288969
SWZ,1997,4.191535
SOM,2010,8.7591164
ZWE,2013,10.400436
ERI,2001,0.82586259
ZWE,1991,1.1147282
NAM,2001,14.853677
SEN,2011,11.753112
CPV,1998,7.8923024
BWA,2003,11.342568
SOM,1992,1.0629533
BDI,1994,1.2586726
SYC,2011,24.779765
TUN,2019,25.380853
COG,1990,2.8488774
TGO,2017,13.488498
GMB,2001,6.3680589
MLI,1999,2.9251618
GIN,2006,4.300832
NAM,2020,16.261652
ZAF,1991,25.585291
DJI,2010,9.7516574
GNB,2019,6.6281006
ETH,2014,1.6699459
COG,1990,4.2880744
MWI,1996,2.3067068
NER,2011,3.7989847
ETH,2020,0.91065941
GNQ,2019,6.8645217
CAF,1992,1.2293329
CIV,2016,9.286879
ETH,2001,0.34593791
TGO,2002,3.91118
SDN,2004,12.312326
DJI,1994,4.1793425
AGO,2021,11.109583
LSO,1999,10.366445
CMR,2001,7.258603
SYC,2009,33.335289
CIV,2000,2.7615843
NGA,2022,8.1830822
ZAF,2012,28.633341
TUN,2001,24.050011
BEN,2018,9.7187229
SYC,2010,24.417603
SWZ,1992,10.8486
SLE,2013,5.9137195
SWZ,2006,6.9147684
ERI,1998,1.0877613
ETH,2022,4.5082852
EGY,2003,20.674904
NER,2012,3.935124
SYC,2007,23.106474
SDN,2018,8.6886078
NGA,2013,6.0348105
GNB,2007,4.2049367
GNQ,2002,3.5341978
COG,1996,4.1138213
MOZ,2003,5.0520454
SDN,2011,15.92558
SEN,2009,2.2269145
ZMB,2007,5.3893194
ZWE,2016,11.504383
SEN,2000,7.5748608
SWZ,1995,3.7480325
GHA,2015,17.038204
BWA,2012,5.9626125
SEN,1990,3.7894368
CIV,1997,2.1612857
ERI,1996,0.95025338
CAF,2019,8.0635421
MRT,1992,8.8262014
SWZ,2013,23.784496
SSD,1998,1.4024382
SSD,2006,3.991415
CAF,2022,9.2961431
COD,1995,1.6955664
NER,2002,3.229842
CIV,2022,7.6851584
MOZ,2022,6.2473513
KEN,1997,3.4614258
SEN,2016,2.9092148
GIN,1994,2.1442542
MWI,2007,3.3862922
COD,2000,2.3353986
SYC,2002,29.298496
SYC,2005,31.187704
TGO,2012,7.1321554
RWA,2019,6.3186757
GIN,1990,1.212256
GIN,2009,6.5682098
KEN,1992,1.3608739
UGA,1990,1.7207835
CIV,1990,3.2185737
ZWE,1994,1.2631917
CIV,2007,6.8623267
MOZ,1995,1.2400644
MOZ,1996,1.3166406
MLI,2004,5.5768244
NGA,1998,2.1579569
GNQ,2008,20.972869
DJI,2014,3.7610661
KEN,2002,2.4357829
AGO,1998,2.3568036
MWI,2015,5.2871391
NAM,2014,14.516743
GMB,2010,8.4947467
TZA,1998,3.2302637
TZA,2004,2.5255868
LBY,1997,22.198328
AGO,2017,9.8170705
GIN,2007,5.8561578
BEN,2014,5.0627787
GNQ,2004,11.034798
CIV,1999,4.2203784
CMR,1992,3.7033759
DJI,1999,1.670466
GHA,2007,13.73103
MDG,2021,3.9922457
TUN,2015,30.611932
GNQ,2005,4.133907
TCD,2007,4.1738365
ERI,2019,4.0188789
GMB,2011,12.342232
SYC,2004,30.580151
SLE,1992,0.6733059
MLI,2009,5.9656382
ETH,2010,0.54125753
MDG,1991,0.68069072
ZAF,2008,14.29074
ERI,2006,1.877873
UGA,2000,0.61004385
BEN,2000,2.2837255
SWZ,1998,22.081552
NGA,2017,6.7962937
LBY,2011,31.47499
MRT,2020,21.206871
TUN,2002,17.345017
SOM,1997,1.424872
ZMB,2018,9.1049865
SSD,2003,4.6901241
DJI,1992,2.4974
MDG,2017,3.0997556
SDN,1997,8.8427924
GIN,2020,5.3453233
TZA,2009,3.2489281
SLE,2007,5.2683458
MDG,2022,4.4576559
BEN,1992,3.4599368
TGO,1994,2.0074748
SOM,2005,6.901224
SWZ,1995,19.504
BDI,2016,4.2113066
CMR,2013,16.329084
SLE,2001,3.8730994
LBR,2020,19.177686
TGO,2007,2.8610069
SSD,2002,1.7796146
COM,2015,5.4273292
NER,2012,2.6381817
CAF,2004,2.5518173
MAR,2016,11.699769
COD,1995,1.2489922
NGA,2013,11.806312
NAM,2017,15.332749
GNQ,2012,13.906439
ZWE,1993,10.036533
RWA,2016,1.0728499
LBR,2020,15.247598
COG,2020,3.9098397
TUN,1992,5.7858821
MUS,2017,23.406287
GNQ,2005,11.458882
SWZ,2021,14.237547
GAB,1990,2.9067134
LBR,2000,6.6849627
ZMB,2001,3.8855683
TCD,2000,2.1955121
SLE,2012,5.8395065
COD,2006,4.2749114
BFA,2003,1.9214036
CPV,2010,10.644072
BEN,2010,7.6908566
SEN,1995,0.73764222
NGA,2001,2.9030403
GIN,1996,2.5170147
MOZ,2013,8.8100694
GAB,2015,8.8276029
EGY,1994,22.529954
CMR,2020,14.126372
AGO,2013,8.7573476
SYC,2001,10.318936
CMR,2018,8.3372943
