iso3,year,ncd_mort
SDN,2017,22.7
CMR,2019,22.9
GAB,2020,19.2
TZA,2006,18.1
MDG,2006,28.8
AGO,2001,26.9
UGA,2010,23.3
ZMB,2009,22.9
LSO,2011,39.4
SYC,2010,15.5
COG,2004,29.4
GIN,2012,25.6
NER,2021,20.2
MDG,2007,29.5
BDI,2014,25.6
CMR,2009,27.1
GAB,2016,18.3
TZA,2008,17.8
TGO,2021,22.9
RWA,2006,23.9
BDI,2005,28.5
ZMB,2004,28.8
CMR,2003,30.9
MLI,2001,21.7
LBY,2017,21.3
MUS,2001,35.5
GNB,2021,23.3
GIN,2000,24.3
DZA,2015,15.3
SEN,2009,22.7
CAF,2014,33.1
COM,2003,23.5
TCD,2016,22.6
ZAF,2003,28.3
ETH,2012,17.9
UGA,2015,25.5
AGO,2010,22.8
SLE,2017,24.7
ZAF,2007,24.9
MLI,2000,29.3
MWI,2009,26.2
CIV,2016,26.4
MRT,2008,20.8
AGO,2009,23.5
GNB,2009,28.4
ZWE,2015,33.6
LBR,2007,23.4
SEN,2011,22.8
MAR,2016,22.6
ZWE,2019,32.8
GHA,2021,24.9
SDN,2017,23.5
SYC,2000,17.6
BEN,2020,24.8
KEN,2007,17.5
BDI,2007,25.9
TGO,2005,32.0
BWA,2001,23.1
AGO,2000,33.8
CIV,2018,25.8
DZA,2001,17.7
MLI,2009,27.1
NGA,2007,17.4
GHA,2005,25.2
SWZ,2000,30.2
ZAF,2018,20.4
ZMB,2003,29.4
MOZ,2017,24.5
CMR,2011,26.8
COD,2016,23.6
DJI,2008,21.2
SDN,2019,21.7
TGO,2015,27.1
TUN,2009,12.8
BWA,2011,23.3
COM,2012,20.9
GNQ,2014,17.7
NGA,2013,19.0
KEN,2017,18.8
GIN,2008,26.5
ETH,2001,25.1
TZA,2012,18.0
MOZ,2002,21.2
ERI,2015,25.6
GNQ,2002,24.4
SYC,2005,17.1
TGO,2000,28.2
GAB,2016,22.8
EGY,2013,34.3
CPV,2000,19.8
CPV,2021,17.2
EGY,2017,33.3
MWI,2012,24.4
TCD,2012,25.1
CMR,2010,27.0
LSO,2021,40.0
COM,2004,22.8
EGY,2002,24.1
TCD,2001,25.7
NER,2017,20.2
TZA,2002,16.7
ETH,2001,23.6
ZMB,2008,19.9
GNQ,2017,21.1
MOZ,2001,21.2
DJI,2010,21.2
SOM,2011,32.9
LBY,2006,20.1
STP,2010,20.1
SLE,2004,25.4
SWZ,2012,33.5
LBR,2004,21.7
CIV,2003,17.1
STP,2020,20.4
DZA,2015,14.2
CAF,2020,38.9
NGA,2001,19.4
STP,2011,19.8
BDI,2003,30.7
BEN,2001,23.0
CPV,2002,16.3
MAR,2020,22.6
BWA,2009,21.9
COM,2005,22.4
GAB,2000,21.6
LSO,2013,33.3
LBY,2018,19.6
DJI,2020,19.5
AGO,2001,29.7
LBY,2003,23.0
CPV,2012,14.7
GNQ,2009,20.2
ERI,2001,32.5
NER,2002,20.5
MDG,2014,27.2
SDN,2012,22.5
GAB,2011,18.4
BWA,2002,31.7
SSD,2005,15.0
COM,2020,21.8
MAR,2001,24.4
AGO,2020,28.4
COM,2013,20.9
CMR,2004,24.4
COG,2007,27.2
TZA,2007,16.2
CMR,2000,23.9
BEN,2002,26.0
BEN,2000,23.2
TZA,2008,19.6
TZA,2004,16.6
NAM,2014,22.8
CAF,2017,27.0
LSO,2008,29.7
GNB,2017,24.2
RWA,2021,20.0
COD,2007,25.5
NER,2012,20.6
SYC,2015,15.9
GHA,2003,24.4
SDN,2015,22.1
DJI,2010,19.7
TGO,2000,25.2
MLI,2014,25.3
TGO,2018,29.8
AGO,2004,29.0
GMB,2017,23.1
NAM,2003,31.2
GNB,2000,33.0
TUN,2007,16.8
MDG,2005,29.2
SYC,2017,16.2
MRT,2004,16.7
ERI,2006,35.0
LBY,2010,20.0
NER,2018,21.3
CMR,2012,24.1
ZMB,2005,28.0
BWA,2005,12.5
BFA,2016,22.5
SLE,2013,25.6
SEN,2000,24.5
COG,2018,22.4
SLE,2015,24.4
ZMB,2013,22.6
SDN,2020,22.6
CIV,2004,24.9
ZMB,2020,24.1
TCD,2003,23.1
CAF,2003,34.4
ERI,2018,30.5
LBR,2001,22.6
NER,2007,19.8
ERI,2006,26.5
STP,2015,19.8
MOZ,2021,33.5
EGY,2011,29.1
STP,2018,19.5
CIV,2000,16.2
ERI,2015,31.7
GHA,2017,20.1
EGY,2014,28.8
BDI,2018,23.9
TCD,2020,24.5
MLI,2009,22.8
CPV,2002,19.8
UGA,2002,29.5
MLI,2018,26.1
LBY,2015,20.4
BDI,2003,30.4
MAR,2021,22.6
MUS,2005,27.7
NGA,2003,18.5
CMR,2020,23.0
SLE,2001,26.6
TUN,2008,20.3
SWZ,2007,33.4
SLE,2020,24.1
CAF,2005,32.5
AGO,2007,29.1
CPV,2014,12.2
GNB,2017,29.3
MOZ,2001,26.7
TZA,2020,19.7
RWA,2019,18.7
STP,2013,20.5
CIV,2007,24.6
NER,2016,20.3
LBR,2002,24.1
AGO,2021,24.7
ZWE,2016,33.7
BWA,2017,22.1
GAB,2009,23.2
BFA,2015,25.3
NER,2010,20.0
CMR,2018,27.4
ETH,2020,17.3
SYC,2008,16.7
MUS,2015,23.4
CIV,2009,23.4
CMR,2009,30.5
GHA,2005,26.9
LSO,2000,20.1
SDN,2001,26.3
LBY,2015,18.9
SDN,2012,23.4
ERI,2010,30.0
AGO,2004,31.2
CPV,2020,24.1
BWA,2021,17.6
ZWE,2017,33.4
LBY,2004,20.9
GNQ,2002,23.1
ERI,2001,27.5
RWA,2011,23.0
BFA,2014,22.4
BFA,2004,23.0
GHA,2001,24.4
NGA,2011,19.3
LBY,2016,20.9
BDI,2002,31.1
CIV,2018,23.5
MUS,2017,28.1
SYC,2017,26.4
GNB,2014,26.7
CIV,2005,17.0
GNQ,2002,26.1
UGA,2019,18.6
CPV,2013,17.6
CAF,2018,27.2
MWI,2018,28.8
ETH,2004,22.0
ERI,2000,33.8
BFA,2003,28.6
CIV,2009,26.4
MOZ,2013,23.0
SDN,2016,23.5
DJI,2021,19.3
MOZ,2014,24.1
BEN,2012,22.7
TZA,2010,18.7
GAB,2007,20.2
MOZ,2020,28.8
SOM,2011,26.6
SSD,2016,19.0
SSD,2018,24.9
MUS,2019,27.7
BWA,2006,26.7
TZA,2005,20.4
GMB,2005,21.7
GNB,2013,29.5
MDG,2011,26.7
GNB,2021,25.3
ZAF,2008,28.8
TCD,2013,24.8
TGO,2010,24.3
NGA,2010,19.7
CMR,2013,29.9
BEN,2006,24.9
GHA,2013,24.7
MLI,2014,23.6
LBR,2021,22.0
BDI,2014,24.5
SEN,2012,22.3
GIN,2010,26.4
GIN,2019,24.5
UGA,2020,21.7
GMB,2001,21.4
ZMB,2021,26.0
RWA,2018,18.8
MOZ,2018,24.2
DZA,2016,14.1
ZMB,2003,25.2
KEN,2009,18.2
TGO,2019,22.9
CIV,2014,20.8
ZMB,2010,23.1
MOZ,2003,15.0
GHA,2016,23.9
SEN,2014,22.8
BDI,2013,23.8
BDI,2018,22.6
BDI,2020,24.1
SLE,2015,24.9
UGA,2014,22.0
SDN,2004,25.7
UGA,2009,19.6
NAM,2001,22.5
MLI,2012,23.2
ZAF,2001,17.5
TCD,2018,25.7
MLI,2010,26.8
CAF,2006,26.9
ERI,2014,31.9
NAM,2010,28.5
SWZ,2008,32.5
ZMB,2014,25.9
NGA,2019,16.2
MRT,2000,20.8
GNQ,2016,20.7
ERI,2021,29.4
TGO,2008,24.5
MOZ,2001,15.9
SEN,2008,24.4
BFA,2005,22.8
BEN,2004,19.7
ZAF,2019,19.4
LBR,2011,23.0
DZA,2013,13.5
GNB,2016,26.6
COM,2002,24.5
UGA,2013,22.5
ZAF,2000,26.9
NGA,2021,17.7
COG,2001,34.2
BWA,2018,18.2
MWI,2010,25.9
GMB,2001,27.0
GNB,2005,33.0
CAF,2013,26.3
SLE,2012,25.6
TCD,2009,27.6
SOM,2018,26.7
SDN,2002,25.0
SSD,2001,15.9
AGO,2008,28.3
BEN,2005,19.7
MAR,2014,23.2
ZMB,2012,23.2
LBR,2004,24.2
MAR,2006,23.4
TUN,2020,11.2
NER,2001,20.6
MOZ,2014,29.7
GMB,2010,20.5
KEN,2002,15.9
TZA,2001,17.0
MUS,2016,17.5
COD,2018,26.9
MOZ,2008,26.3
DZA,2016,15.3
TZA,2012,16.4
CPV,2004,19.9
STP,2010,19.7
SSD,2011,15.4
TGO,2020,29.9
TGO,2021,25.4
DZA,2011,16.2
COM,2000,26.3
GAB,2008,19.3
COD,2009,26.1
MRT,2007,21.2
ETH,2016,17.2
BDI,2009,25.1
MRT,2005,15.7
UGA,2011,19.1
GAB,2005,26.7
MOZ,2019,37.5
CAF,2004,34.0
TCD,2003,25.8
DJI,2021,22.1
CIV,2012,25.3
MDG,2011,28.8
LBR,2021,23.4
GAB,2018,26.5
DZA,2016,12.9
GHA,2020,26.3
DJI,2005,21.3
LSO,2020,42.8
BFA,2015,22.4
COM,2000,26.3
CMR,2015,26.8
NER,2004,19.8
NAM,2012,18.5
MOZ,2017,39.6
SDN,2010,24.1
GNQ,2012,19.9
ZWE,2002,25.5
STP,2001,20.7
CIV,2013,21.0
NGA,2000,22.7
DJI,2008,22.1
TZA,2019,19.7
SDN,2015,23.6
CAF,2010,26.0
KEN,2004,16.3
BEN,2003,22.4
GIN,2019,24.7
TGO,2009,24.5
AGO,2013,24.2
CIV,2018,20.7
MAR,2010,22.7
CMR,2010,30.3
GNQ,2012,20.1
LBR,2015,21.1
MLI,2001,29.0
MOZ,2012,28.0
GHA,2018,23.2
NAM,2015,23.7
MAR,2016,21.8
MRT,2017,20.1
SWZ,2003,39.9
BWA,2014,24.6
SLE,2004,26.2
UGA,2012,27.2
GMB,2017,21.2
ETH,2017,17.0
MAR,2021,22.0
SWZ,2012,37.4
DJI,2007,20.9
COD,2019,26.6
MRT,2003,22.1
MAR,2014,22.6
MRT,2012,15.9
CPV,2000,16.6
GMB,2003,24.4
MWI,2018,23.6
SSD,2019,18.8
CPV,2006,15.1
DJI,2014,20.3
UGA,2008,24.3
LBY,2004,22.0
NGA,2009,17.2
DJI,2014,23.0
ETH,2011,18.4
SOM,2002,36.5
CAF,2013,38.3
DJI,2018,21.8
ZWE,2019,32.7
MLI,2021,23.0
COD,2015,25.2
LBY,2000,20.9
DJI,2019,23.3
TGO,2003,32.3
DZA,2021,13.8
MLI,2007,27.2
NER,2001,21.4
MOZ,2000,16.8
GMB,2008,26.2
MOZ,2017,30.3
KEN,2011,19.2
MOZ,2010,21.8
LSO,2017,34.5
SYC,2011,21.1
BDI,2006,27.3
GNQ,2014,19.4
SDN,2009,22.6
SDN,2011,24.6
SYC,2005,31.4
KEN,2019,19.1
MRT,2011,20.1
TCD,2006,25.2
NAM,2014,26.8
GHA,2014,21.0
CMR,2002,24.6
RWA,2007,21.3
BFA,2017,24.9
TZA,2013,17.3
TZA,2002,18.9
BFA,2016,28.6
UGA,2007,21.0
MWI,2007,24.1
CPV,2020,11.5
DZA,2013,15.6
MUS,2013,23.4
SDN,2007,23.0
CPV,2009,17.2
BEN,2015,19.8
BWA,2016,20.3
LSO,2014,39.3
GIN,2000,24.1
UGA,2000,33.6
SYC,2016,21.9
DJI,2017,21.9
MRT,2010,20.6
GIN,2018,24.6
GNB,2012,26.9
MRT,2020,18.8
GHA,2021,19.7
COM,2014,21.0
BEN,2008,19.8
EGY,2018,27.8
NAM,2001,25.7
TCD,2004,25.5
DZA,2019,15.1
MUS,2014,18.0
NAM,2010,23.9
COM,2017,21.1
COM,2008,22.2
GHA,2010,28.4
ERI,2004,26.4
MLI,2010,22.9
GIN,2014,25.4
BEN,2016,25.0
NGA,2002,22.5
SYC,2012,15.7
ETH,2000,24.5
LBY,2005,20.0
BWA,2015,25.3
COM,2011,21.3
RWA,2006,22.1
NER,2018,20.7
SOM,2014,33.6
SWZ,2002,34.2
COG,2003,30.7
ZMB,2007,23.0
COM,2012,21.3
COG,2021,21.0
SDN,2014,22.2
MUS,2002,28.9
TZA,2019,17.5
ETH,2019,17.2
DZA,2010,15.2
MOZ,2016,24.5
TGO,2017,23.5
ETH,2006,21.4
CMR,2015,24.4
TZA,2005,18.4
BWA,2004,19.6
GAB,2013,25.9
COM,2018,20.1
NER,2008,19.0
LSO,2002,23.6
CMR,2016,24.0
COD,2003,25.5
BDI,2021,23.5
MAR,2020,21.0
EGY,2003,30.3
LBY,2000,18.9
RWA,2010,23.4
GIN,2019,24.4
SYC,2016,27.0
GNQ,2020,20.2
RWA,2019,22.6
LBR,2012,24.8
ZAF,2016,27.2
SWZ,2011,33.5
BFA,2005,28.2
GMB,2013,25.3
TZA,2000,17.4
CAF,2018,38.9
GHA,2006,27.2
UGA,2011,23.1
NGA,2015,16.4
BWA,2008,19.1
COM,2002,24.9
CIV,2001,22.1
NER,2002,20.9
TCD,2018,22.6
BFA,2020,24.2
ZWE,2005,29.6
CAF,2021,35.5
SLE,2016,24.7
MAR,2002,23.4
SEN,2002,25.4
LBY,2012,20.4
BFA,2021,25.9
SDN,2020,23.0
SEN,2000,23.1
COG,2003,29.6
COD,2014,23.9
SLE,2009,26.9
GNB,2015,26.9
GNB,2007,32.2
SYC,2007,30.0
BEN,2010,25.1
MLI,2005,24.5
SEN,2015,22.3
TUN,2007,13.2
GNB,2010,25.5
GHA,2001,25.1
COM,2018,20.8
COD,2021,26.4
MUS,2018,28.3
DZA,2014,15.3
TUN,2010,16.4
SWZ,2009,36.0
BDI,2011,24.7
DZA,2010,16.3
MAR,2014,22.0
AGO,2005,29.7
MDG,2004,28.8
BEN,2017,24.7
BWA,2005,20.3
LSO,2018,34.1
GMB,2003,27.2
NAM,2016,20.4
GHA,2001,25.9
TZA,2001,21.5
EGY,2011,23.2
LBR,2018,20.7
COM,2004,23.0
MDG,2009,29.0
STP,2004,20.6
GAB,2000,28.0
SEN,2020,22.4
ZAF,2014,24.5
MUS,2006,32.0
DJI,2013,20.0
SSD,2020,26.8
RWA,2016,20.5
GAB,2014,27.9
BEN,2000,26.5
TCD,2011,23.4
CPV,2007,17.3
SOM,2010,30.7
UGA,2003,28.9
GAB,2009,19.4
AGO,2017,20.7
BWA,2009,29.6
ZMB,2015,22.7
TCD,2007,27.7
MWI,2003,27.1
SDN,2005,24.6
DJI,2016,21.7
MUS,2003,22.7
TUN,2016,15.4
GIN,2013,26.6
TUN,2017,18.9
COM,2003,23.8
ETH,2011,18.5
MLI,2006,27.1
ERI,2008,34.3
GIN,2020,24.4
SWZ,2012,30.6
ZWE,2021,32.1
MWI,2010,24.2
TCD,2014,26.4
KEN,2000,15.4
GNQ,2011,21.0
NER,2010,19.6
COD,2002,26.6
MUS,2014,28.4
EGY,2007,35.5
CMR,2021,24.3
COD,2008,25.5
ERI,2008,26.4
COD,2020,27.7
GIN,2004,25.2
RWA,2009,21.6
MOZ,2015,38.1
LBY,2021,19.8
NGA,2005,17.7
SLE,2006,26.3
CMR,2011,23.8
BDI,2013,25.4
GNQ,2005,22.1
LBY,2005,21.8
CIV,2013,25.1
SWZ,2011,37.9
NER,2003,21.0
NAM,2007,19.2
COG,2000,36.5
GNQ,2000,27.9
TZA,2015,17.4
EGY,2016,34.7
UGA,2015,18.5
ZAF,2008,22.9
CIV,2005,21.2
MWI,2019,29.2
SEN,2019,22.4
LBY,2012,19.5
MLI,2012,25.1
BEN,2005,25.0
SLE,2006,25.8
ZMB,2007,19.8
COD,2010,26.0
ERI,2009,34.3
KEN,2014,17.1
KEN,2013,16.6
BFA,2006,25.3
MWI,2013,24.0
SYC,2001,24.2
COG,2008,25.3
ZAF,2011,27.6
MDG,2003,28.8
GIN,2010,25.7
LBR,2016,21.0
SEN,2020,21.4
ZMB,2010,26.7
GNQ,2017,20.2
SEN,2012,22.9
SLE,2001,25.1
MRT,2002,17.1
SSD,2013,15.9
MOZ,2012,36.2
BFA,2009,28.5
GNQ,2010,19.4
CIV,2006,24.0
ERI,2001,38.0
SDN,2008,23.0
GHA,2010,25.4
CMR,2008,30.8
ERI,2012,32.6
CIV,2002,16.6
GHA,2012,28.4
ZAF,2017,20.9
GAB,2006,27.7
NAM,2021,24.6
NGA,2016,17.3
DZA,2008,14.7
ERI,2015,28.4
COM,2007,22.2
DZA,2012,14.8
CPV,2008,12.6
RWA,2012,22.8
MUS,2016,28.2
GAB,2011,22.7
TUN,2015,15.5
LBR,2002,23.2
SYC,2009,22.4
GIN,2003,25.0
TCD,2012,27.0
EGY,2003,24.4
SYC,2003,32.2
ZMB,2010,20.3
RWA,2004,29.7
NAM,2000,29.6
RWA,2007,25.6
STP,2012,19.6
GNB,2000,38.5
BDI,2012,25.3
SOM,2016,33.0
LSO,2013,35.3
NAM,2003,22.4
ZAF,2008,25.3
COG,2019,23.3
SDN,2009,23.7
SLE,2021,23.0
NGA,2018,17.1
RWA,2009,23.8
MLI,2012,26.9
RWA,2006,26.5
MRT,2015,15.8
COG,2004,30.3
BEN,2020,21.8
NAM,2015,20.8
TCD,2002,29.0
SWZ,2014,33.6
COM,2019,20.0
TGO,2012,24.1
ZWE,2000,21.1
COM,2010,21.2
MLI,2015,23.7
GHA,2017,23.6
SYC,2003,17.7
SOM,2020,26.7
GNB,2007,26.1
MWI,2006,24.8
MRT,2021,18.7
NAM,2005,25.3
NER,2005,20.4
DZA,2009,15.6
SOM,2017,26.8
SSD,2004,15.2
MOZ,2016,39.1
TUN,2009,16.5
TZA,2000,22.0
SSD,2015,16.9
GHA,2000,23.8
GHA,2004,26.7
SDN,2008,24.0
GNB,2002,31.0
MWI,2021,24.9
BFA,2017,28.2
UGA,2002,34.2
SDN,2019,22.4
EGY,2016,23.2
GHA,2005,23.7
LSO,2011,32.2
SEN,2008,23.5
STP,2015,20.8
NAM,2011,22.5
LSO,2015,38.0
SLE,2003,27.0
GNB,2002,25.9
TUN,2020,18.9
TCD,2016,25.6
BEN,2003,19.8
KEN,2006,16.9
MDG,2000,29.4
GHA,2004,24.0
UGA,2020,25.8
COM,2006,22.2
GHA,2002,26.2
LBY,2020,23.0
SOM,2006,28.2
LBY,2017,23.1
MRT,2019,16.5
CAF,2010,37.7
SYC,2014,21.0
BDI,2011,25.4
SDN,2013,24.2
CMR,2007,24.2
LBY,2008,21.8
MLI,2021,25.4
SOM,2012,33.6
CPV,2017,14.9
ZMB,2007,27.0
GIN,2009,26.5
KEN,2014,18.1
ERI,2003,35.4
SSD,2021,25.5
NGA,2007,18.9
CAF,2004,39.3
GHA,2012,21.9
GHA,2009,28.5
SEN,2016,22.3
NER,2002,20.1
LBR,2002,22.2
MDG,2010,27.8
GNB,2008,25.7
BWA,2005,28.8
NER,2019,20.6
ZWE,2004,28.6
TZA,2003,16.7
MWI,2013,26.3
DZA,2002,17.4
SYC,2002,24.3
COM,2000,26.3
ZAF,2013,27.6
ZAF,2001,26.4
NER,2019,19.9
NGA,2002,18.9
GMB,2021,21.8
ZAF,2004,19.6
SSD,2012,19.1
RWA,2019,20.4
NER,2011,20.1
AGO,2019,22.2
CMR,2005,24.4
GNQ,2015,19.1
TCD,2010,27.5
AGO,2013,21.7
BEN,2018,19.1
CPV,2017,12.5
EGY,2010,29.9
GAB,2010,18.6
BEN,2016,19.5
SOM,2018,29.4
MRT,2016,20.1
MDG,2019,26.5
BDI,2007,26.5
MDG,2019,25.8
GAB,2014,19.1
SSD,2019,22.0
AGO,2011,22.5
MDG,2020,28.1
COG,2016,22.0
NER,2014,20.9
UGA,2021,21.5
RWA,2011,20.9
SSD,2001,22.8
TCD,2013,26.6
TCD,2006,27.7
CAF,2004,27.4
MDG,2002,30.4
TUN,2014,12.0
ZMB,2014,20.3
UGA,2002,25.5
TZA,2003,18.8
SDN,2003,24.6
BWA,2010,22.9
ETH,2019,17.3
GNB,2005,26.2
SWZ,2017,35.6
NAM,2021,23.1
AGO,2016,20.7
ZAF,2011,24.9
MWI,2011,26.3
ERI,2009,26.6
DJI,2005,22.2
LBR,2008,20.6
BEN,2001,20.4
KEN,2010,18.3
ZWE,2021,31.2
GMB,2006,26.2
SOM,2005,32.0
CIV,2001,17.0
TZA,2012,17.1
EGY,2020,30.6
GNB,2003,30.8
SDN,2008,24.8
ZWE,2018,33.4
CAF,2003,39.9
EGY,2008,35.4
TUN,2001,18.4
TZA,2011,16.4
GAB,2009,27.1
BEN,2002,22.8
BFA,2021,23.4
ZAF,2019,21.6
SDN,2017,21.9
ZMB,2012,26.9
AGO,2002,27.3
TGO,2002,31.7
STP,2020,21.6
GMB,2012,23.1
DZA,2017,12.8
SLE,2020,23.7
LBY,2019,19.2
NAM,2019,22.8
RWA,2008,24.7
TUN,2021,11.3
LSO,2019,33.9
AGO,2011,24.7
NER,2003,20.3
BFA,2020,27.6
COD,2009,27.2
DJI,2006,22.9
DJI,2000,20.7
BDI,2012,24.0
ERI,2019,25.1
GNB,2011,27.4
GNQ,2020,21.1
UGA,2000,25.7
ZWE,2010,33.8
NGA,2017,17.1
SDN,2001,25.3
STP,2018,21.6
ETH,2015,17.4
TZA,2009,16.2
ZWE,2003,26.9
SLE,2013,25.2
SOM,2004,36.1
GMB,2014,21.0
RWA,2002,29.5
LBR,2018,22.0
DJI,2001,21.5
LBR,2008,23.5
GAB,2003,23.1
COD,2008,26.5
MWI,2002,26.0
BDI,2005,28.4
LBR,2016,23.8
DJI,2004,23.9
DZA,2004,15.6
UGA,2017,21.1
BWA,2006,11.8
ZMB,2009,26.6
TUN,2019,11.5
SSD,2006,21.4
DJI,2020,21.5
MUS,2015,17.9
NAM,2006,24.2
EGY,2001,29.5
LSO,2004,26.3
GNB,2006,32.5
COM,2008,22.1
SDN,2013,23.3
DJI,2002,22.3
DJI,2009,20.2
GNQ,2020,22.1
SSD,2011,17.1
COG,2012,24.8
SSD,2014,16.4
BWA,2000,32.4
SWZ,2021,28.1
AGO,2017,25.3
TUN,2000,18.6
ZMB,2018,22.7
TZA,2021,17.7
AGO,2015,23.2
RWA,2010,19.8
LBY,2009,20.6
GIN,2001,24.5
SSD,2005,18.0
EGY,2001,35.4
ERI,2007,26.2
COD,2020,23.4
KEN,2003,16.9
LBR,2009,24.3
DJI,2017,20.4
GIN,2018,25.2
BDI,2001,32.7
ERI,2004,35.3
ZWE,2003,28.7
CPV,2008,17.4
TGO,2014,23.8
GAB,2008,25.9
EGY,2010,24.4
ZAF,2009,28.4
GAB,2017,22.2
TGO,2003,25.0
MDG,2020,26.1
LBY,2012,18.6
MUS,2001,29.0
BWA,2012,23.2
CPV,2006,17.9
GAB,2004,22.6
LSO,2006,29.0
DZA,2005,15.4
LSO,2002,19.0
GIN,2017,25.3
CPV,2007,12.8
ZAF,2010,24.6
ETH,2004,22.5
SDN,2001,27.2
CMR,2020,27.8
MOZ,2020,23.2
GHA,2011,28.6
EGY,2002,35.8
AGO,2005,26.2
SDN,2021,21.2
COM,2001,25.7
SOM,2015,26.9
GNB,2014,24.5
SLE,2010,26.7
EGY,2012,35.6
UGA,2016,21.5
LBY,2007,21.5
LBR,2000,21.9
BDI,2018,25.5
CAF,2001,39.8
SLE,2021,24.7
BWA,2011,25.3
STP,2019,21.6
UGA,2018,21.4
STP,2017,21.5
GAB,2015,19.0
EGY,2005,24.1
EGY,2012,24.0
STP,2011,19.5
TZA,2009,17.8
COD,2000,29.1
ETH,2004,23.0
BFA,2000,26.0
NER,2009,19.9
GNQ,2008,20.4
ZAF,2003,23.3
NGA,2003,20.2
CAF,2007,25.9
MAR,2012,22.3
SSD,2003,15.3
ZMB,2002,28.9
TCD,2021,23.0
AGO,2019,27.3
COD,2015,26.8
SSD,2020,19.0
GNB,2013,24.3
SLE,2009,27.0
CMR,2017,28.0
GNQ,2016,19.1
GNB,2013,26.6
CMR,2011,30.0
TCD,2012,23.3
LBR,2014,24.0
SOM,2019,29.2
ERI,2011,29.5
TZA,2007,18.0
MRT,2013,18.0
TGO,2001,31.6
COM,2021,20.5
NER,2007,20.0
UGA,2010,19.3
CMR,2000,28.9
SOM,2000,33.4
GAB,2001,22.6
GIN,2015,25.8
NER,2010,19.8
DJI,2011,19.9
AGO,2012,24.3
LBR,2020,21.6
DZA,2003,17.4
MAR,2015,21.9
KEN,2001,15.3
COG,2018,22.1
KEN,2006,17.6
ETH,2016,17.1
BEN,2009,19.9
COG,2019,22.7
DZA,2014,14.3
SEN,2011,22.2
STP,2003,20.4
DJI,2017,23.6
ZWE,2011,32.2
MDG,2004,29.8
SYC,2019,21.8
TGO,2009,28.5
GMB,2013,22.9
EGY,2021,30.8
GNQ,2013,18.3
MDG,2008,26.9
MOZ,2004,21.0
UGA,2006,31.0
GNQ,2008,20.1
EGY,2008,29.6
COG,2014,23.3
NER,2006,20.4
MAR,2005,23.5
SLE,2018,24.6
LSO,2016,35.9
SEN,2018,21.7
CAF,2009,39.0
SWZ,2021,37.6
ETH,2000,25.3
NER,2016,21.3
RWA,2008,22.3
COM,2006,22.2
MLI,2018,22.9
SEN,2016,23.4
MRT,2013,15.6
GIN,2006,25.8
MAR,2018,23.5
DZA,2021,12.8
BEN,2010,22.4
BWA,2003,30.5
SDN,2010,22.2
BWA,2016,22.8
TZA,2019,18.4
MDG,2001,29.0
COD,2021,25.1
MWI,2020,23.2
CAF,2012,37.6
UGA,2018,25.1
NER,2005,20.1
KEN,2018,19.4
COG,2020,21.9
MUS,2005,22.0
UGA,2020,18.3
SSD,2012,15.6
RWA,2016,22.5
MDG,2012,28.1
RWA,2020,18.1
NER,2015,20.9
LBY,2014,18.7
LBR,2013,21.6
ZWE,2009,33.1
MLI,2003,28.1
COG,2005,29.4
SEN,2002,24.2
ZAF,2002,18.9
MUS,2020,17.6
RWA,2014,20.6
ZMB,2012,20.3
NER,2020,20.6
MDG,2007,28.3
COM,2020,20.2
ZMB,2006,27.5
SLE,2014,24.6
GAB,2012,17.9
MAR,2012,22.7
SLE,2019,24.3
RWA,2001,38.1
MUS,2021,16.2
GAB,2004,24.3
MUS,2000,35.8
MAR,2019,21.7
DJI,2004,21.8
COG,2006,27.5
RWA,2004,26.9
RWA,2003,32.1
MAR,2006,23.5
COD,2013,26.8
EGY,2015,24.4
GNQ,2015,18.7
EGY,2009,29.9
ZMB,2017,26.1
MAR,2012,23.2
SDN,2002,26.9
ZWE,2015,33.4
COG,2017,21.9
COD,2013,24.1
GHA,2019,19.6
TGO,2008,32.7
STP,2006,20.9
GMB,2020,22.9
LBR,2021,20.3
NAM,2020,19.6
GIN,2013,25.4
DZA,2001,19.2
ZAF,2011,23.0
GIN,2021,24.2
COM,2021,20.2
MDG,2018,27.2
BFA,2004,28.4
SOM,2005,28.5
BFA,2020,21.4
SSD,2002,18.3
BDI,2012,24.6
NGA,2004,18.3
TZA,2013,16.5
MWI,2004,25.7
BWA,2000,22.8
SLE,2018,25.1
NGA,2012,17.0
NAM,2004,31.0
LBR,2006,22.2
CAF,2016,27.4
BEN,2013,22.4
BFA,2001,29.3
ZAF,2021,20.1
ZMB,2004,20.9
CAF,2007,32.8
LSO,2018,36.9
NGA,2014,18.8
ZAF,2017,23.0
KEN,2020,18.8
SEN,2018,22.3
CPV,2004,16.1
COG,2008,26.7
GMB,2005,24.2
NAM,2013,26.5
LSO,2009,30.8
NAM,2017,23.2
GHA,2014,24.4
GMB,2018,25.0
SLE,2021,23.9
ZWE,2009,27.8
SYC,2008,23.4
BEN,2011,20.1
TZA,2010,16.5
LSO,2015,40.9
MUS,2012,29.4
GMB,2020,25.2
LBR,2000,24.2
COM,2008,21.9
GHA,2017,27.3
SWZ,2007,37.2
SDN,2011,22.7
SOM,2016,26.8
SSD,2006,15.0
BFA,2019,24.1
BFA,2012,22.6
ERI,2002,27.2
DZA,2012,13.7
SOM,2012,30.2
LBY,2008,19.5
AGO,2003,27.5
LBR,2004,23.0
