iso3,year,tb_inc
ZWE,2014,278.0
DZA,2015,81.0
BDI,2005,188.0
BWA,2004,826.0
MOZ,2007,348.0
AGO,2023,383.0
SYC,2017,14.0
LBY,2001,62.0
DZA,2014,80.0
ZMB,2015,391.0
EGY,2023,10.0
CIV,2008,217.0
CIV,2004,208.0
COD,2001,600.0
COG,2019,304.0
KEN,2013,443.0
NAM,2019,486.0
ZMB,2006,577.0
MWI,2005,398.0
DJI,2016,600.0
MLI,2001,77.0
UGA,2008,217.0
BDI,2024,83.0
CPV,2013,92.0
LBR,2013,315.0
GAB,2014,491.0
BDI,2006,182.0
MWI,2015,197.0
MDG,2016,217.0
COD,2017,434.0
NAM,2010,892.0
BWA,2001,938.0
ZAF,2006,1250.0
LBR,2016,279.0
ZAF,2018,677.0
SLE,2020,403.0
UGA,2011,207.0
ZAF,2013,1110.0
STP,2006,273.0
ZMB,2020,319.0
SSD,2015,383.0
MRT,2010,145.0
MWI,2010,338.0
GMB,2000,187.0
DZA,2004,109.0
NGA,2002,219.0
STP,2024,87.0
GAB,2003,350.0
AGO,2014,451.0
GNB,2023,178.0
LSO,2000,827.0
DZA,2012,85.0
SYC,2024,17.0
MLI,2020,56.0
STP,2011,163.0
MOZ,2015,361.0
UGA,2005,233.0
EGY,2012,14.0
TCD,2015,157.0
DJI,2001,2650.0
MDG,2019,214.0
GMB,2019,158.0
SOM,2008,261.0
CPV,2015,78.0
ZWE,2016,233.0
CAF,2024,419.0
MUS,2001,24.0
TZA,2009,452.0
ZMB,2003,662.0
ETH,2023,143.0
BEN,2010,79.0
MWI,2006,392.0
ZMB,2011,475.0
MRT,2002,217.0
MLI,2021,54.0
CAF,2014,513.0
TUN,2002,44.0
CAF,2004,628.0
MWI,2007,383.0
CMR,2018,177.0
SWZ,2006,1460.0
DJI,2010,1350.0
KEN,2005,630.0
SSD,2022,333.0
STP,2015,175.0
LBR,2007,305.0
BEN,2008,83.0
SDN,2017,77.0
SWZ,2001,1010.0
CIV,2019,126.0
SLE,2016,437.0
COM,2002,47.0
MOZ,2011,359.0
BWA,2014,470.0
TCD,2006,137.0
BFA,2021,61.0
SEN,2002,180.0
MRT,2000,229.0
TCD,2004,129.0
MWI,2017,162.0
TUN,2013,46.0
COG,2022,297.0
DJI,2018,433.0
CPV,2009,114.0
GAB,2017,456.0
GNB,2012,241.0
ZAF,2017,738.0
SOM,2011,204.0
UGA,2022,198.0
LBY,2022,52.0
AGO,2008,499.0
DZA,2003,112.0
MLI,2013,66.0
GAB,2023,380.0
TUN,2021,40.0
SOM,2013,187.0
SSD,2018,361.0
UGA,2014,202.0
COM,2013,42.0
SLE,2014,455.0
STP,2008,101.0
SYC,2023,18.0
BEN,2019,51.0
KEN,2014,423.0
TCD,2012,168.0
RWA,2002,193.0
GIN,2012,185.0
BWA,2015,437.0
LSO,2013,948.0
RWA,2006,123.0
NER,2016,93.0
ZWE,2022,209.0
TCD,2000,123.0
GHA,2003,209.0
BFA,2018,64.0
TGO,2022,47.0
CAF,2019,464.0
CPV,2017,70.0
TZA,2019,237.0
LSO,2017,681.0
KEN,2012,471.0
BFA,2004,85.0
ETH,2009,287.0
COG,2020,300.0
MUS,2008,17.0
COG,2013,385.0
SLE,2024,372.0
GAB,2021,401.0
TZA,2012,378.0
MAR,2015,100.0
GHA,2018,148.0
DJI,2008,1390.0
TGO,2004,82.0
TGO,2019,49.0
ZWE,2002,617.0
CMR,2022,143.0
COM,2004,44.0
GAB,2002,342.0
TZA,2010,426.0
MWI,2018,153.0
TUN,2019,42.0
TUN,2015,50.0
MUS,2010,18.0
COM,2011,43.0
GNQ,2009,269.0
MDG,2004,231.0
UGA,2000,276.0
SDN,2007,144.0
MDG,2023,220.0
CPV,2008,121.0
NAM,2007,1140.0
MDG,2011,230.0
RWA,2023,62.0
MUS,2021,11.0
SYC,2016,11.0
ZMB,2010,495.0
BFA,2012,73.0
ZWE,2015,242.0
SLE,2022,388.0
LSO,2005,1200.0
ERI,2000,1440.0
LSO,2015,780.0
GIN,2000,120.0
CAF,2003,641.0
MDG,2005,234.0
NER,2018,84.0
GIN,2023,178.0
COG,2021,297.0
GHA,2014,165.0
MAR,2006,95.0
NGA,2010,219.0
GHA,2016,156.0
BEN,2021,46.0
SDN,2011,105.0
LBR,2022,224.0
LBY,2021,47.0
CPV,2007,105.0
KEN,2020,248.0
GNQ,2002,310.0
BDI,2016,118.0
MWI,2019,146.0
BEN,2024,40.0
LBR,2006,288.0
ETH,2006,345.0
SDN,2024,47.0
EGY,2024,10.0
MWI,2023,119.0
BWA,2020,274.0
BDI,2015,124.0
MUS,2003,25.0
BDI,2009,160.0
COG,2014,365.0
SDN,2004,142.0
MUS,2012,17.0
BFA,2005,84.0
ZMB,2002,695.0
GMB,2009,180.0
MDG,2013,225.0
TUN,2017,43.0
BFA,2002,89.0
CMR,2002,172.0
NAM,2003,1240.0
MAR,2004,97.0
SWZ,2007,1430.0
UGA,2003,248.0
COD,2023,385.0
BWA,2008,676.0
SOM,2009,238.0
ZAF,2015,988.0
GMB,2011,178.0
BEN,2007,84.0
GMB,2006,188.0
MOZ,2024,361.0
MLI,2015,63.0
LBR,2015,289.0
LBY,2011,43.0
SSD,2011,415.0
STP,2012,131.0
MLI,2016,61.0
SDN,2023,50.0
TCD,2009,157.0
UGA,2012,205.0
MOZ,2012,361.0
NER,2017,88.0
LBR,2011,328.0
MUS,2015,16.0
MDG,2014,221.0
MAR,2012,97.0
AGO,2021,371.0
GIN,2001,133.0
BFA,2020,62.0
RWA,2004,155.0
CAF,2022,437.0
GNB,2008,282.0
MLI,2009,75.0
SLE,2012,474.0
ZAF,2020,562.0
LBR,2017,268.0
MDG,2015,219.0
SOM,2016,184.0
LBY,2006,63.0
MOZ,2018,361.0
TGO,2000,51.0
ETH,2012,238.0
NGA,2018,219.0
SLE,2008,514.0
AGO,2012,458.0
AGO,2005,491.0
GAB,2006,387.0
STP,2018,123.0
COG,2006,470.0
LBY,2016,32.0
BDI,2021,93.0
MDG,2002,221.0
GIN,2014,179.0
CPV,2023,53.0
NGA,2015,219.0
MLI,2011,70.0
MRT,2013,118.0
TUN,2001,49.0
ETH,2007,324.0
ZAF,2004,1150.0
SDN,2005,143.0
KEN,2023,214.0
COD,2012,480.0
ETH,2008,305.0
CAF,2008,579.0
RWA,2017,65.0
TGO,2007,91.0
RWA,2022,62.0
CMR,2010,271.0
MRT,2022,75.0
NGA,2000,219.0
NER,2002,103.0
SYC,2013,24.0
SWZ,2012,1110.0
SOM,2015,187.0
CAF,2018,473.0
EGY,2002,20.0
BEN,2009,81.0
SOM,2001,354.0
NER,2006,127.0
CIV,2007,218.0
GAB,2009,445.0
TCD,2010,162.0
GAB,2001,336.0
GIN,2017,178.0
NGA,2019,219.0
TGO,2001,61.0
GNB,2009,276.0
TUN,2005,38.0
EGY,2019,11.0
GHA,2006,199.0
SLE,2011,484.0
