iso3,year,uhc_index
LBR,2017,41.0
GNB,2004,29.0
ETH,2013,26.0
MRT,2008,27.0
DJI,2001,31.0
CMR,2005,28.0
ERI,2009,37.0
SOM,2011,22.0
SEN,2021,48.0
LBR,2015,42.0
EGY,2015,73.0
MDG,2019,33.0
LBR,2018,46.0
MRT,2015,31.0
ZWE,2005,34.0
MLI,2021,42.0
MOZ,2019,46.0
MWI,2004,23.0
MOZ,2005,26.0
TCD,2011,26.0
TCD,2021,25.0
SLE,2023,48.0
STP,2016,53.0
ERI,2016,38.0
CMR,2023,48.0
GNQ,2015,44.0
ZMB,2021,56.0
NER,2003,18.0
DZA,2002,68.0
BDI,2011,42.0
GNB,2007,35.0
NGA,2006,30.0
SWZ,2004,60.0
GMB,2010,48.0
GHA,2004,26.0
STP,2010,51.0
BEN,2021,37.0
BWA,2012,56.0
UGA,2008,36.0
TCD,2010,22.0
MUS,2011,71.0
CIV,2023,46.0
GIN,2009,25.0
LBR,2012,38.0
SYC,2014,79.0
CAF,2021,33.0
SWZ,2016,69.0
EGY,2021,71.0
CIV,2016,44.0
MOZ,2017,46.0
MWI,2003,22.0
LBY,2004,67.0
TZA,2022,47.0
GAB,2023,48.0
ETH,2004,14.0
COD,2015,41.0
COM,2017,52.0
MLI,2008,34.0
MOZ,2008,33.0
MRT,2006,26.0
SEN,2000,24.0
GNQ,2017,46.0
SDN,2022,48.0
CAF,2004,23.0
CAF,2011,29.0
CPV,2001,50.0
GAB,2001,37.0
MLI,2005,26.0
ZMB,2014,55.0
AGO,2006,34.0
EGY,2004,74.0
ERI,2013,39.0
TCD,2023,26.0
SWZ,2017,70.0
BDI,2002,25.0
COG,2021,45.0
TGO,2013,37.0
DZA,2014,72.0
CPV,2023,71.0
DJI,2023,47.0
EGY,2022,71.0
SLE,2003,18.0
BEN,2019,34.0
CMR,2004,29.0
SWZ,2002,56.0
AGO,2017,42.0
GHA,2010,37.0
MRT,2022,35.0
KEN,2000,29.0
CPV,2017,67.0
SLE,2013,40.0
GIN,2004,17.0
GMB,2002,36.0
NAM,2000,49.0
ZMB,2017,55.0
NGA,2020,45.0
UGA,2000,24.0
KEN,2011,52.0
GNQ,2016,46.0
NGA,2019,47.0
MLI,2022,41.0
BWA,2020,61.0
BWA,2006,52.0
TGO,2010,28.0
COG,2022,46.0
MWI,2023,52.0
COM,2015,48.0
MDG,2012,27.0
LBR,2019,46.0
DJI,2020,49.0
ZMB,2016,51.0
NGA,2001,28.0
DZA,2001,68.0
DZA,2013,69.0
CPV,2008,57.0
