iso3,year,dtp3
DJI,2014,78.0
MDG,2003,66.0
GHA,2011,91.0
TUN,2007,98.0
ZMB,2005,82.0
SEN,2023,92.0
MRT,2014,81.0
MDG,2010,70.0
AGO,2019,64.0
STP,2016,96.0
GNQ,2023,74.0
DJI,2009,89.0
KEN,2002,84.0
LSO,2021,95.0
BDI,2023,89.0
NER,2014,82.0
COD,2006,62.0
ERI,2000,81.0
CMR,2009,80.0
NGA,2007,42.0
TCD,2024,68.0
MUS,2023,96.0
UGA,2018,93.0
NGA,2011,53.0
GAB,2016,75.0
GNB,2001,53.0
SDN,2014,94.0
GHA,2014,98.0
GAB,2005,45.0
CPV,2011,90.0
SOM,2002,40.0
NGA,2001,27.0
GIN,2016,47.0
MOZ,2006,78.0
GMB,2010,97.0
MRT,2002,89.0
GNQ,2017,56.0
GMB,2012,98.0
NGA,2021,61.0
LSO,2002,85.0
MUS,2024,93.0
CIV,2005,77.0
CAF,2018,40.0
LBR,2015,65.0
AGO,2023,66.0
ZMB,2003,83.0
COD,2021,65.0
SSD,2024,73.0
CIV,2011,61.0
KEN,2023,93.0
SLE,2019,95.0
BEN,2018,74.0
BEN,2014,74.0
BDI,2002,81.0
LBY,2015,97.0
CMR,2020,68.0
SWZ,2011,91.0
UGA,2013,84.0
TUN,2022,97.0
KEN,2012,94.0
SDN,2005,78.0
GMB,2018,93.0
TGO,2015,82.0
SOM,2012,42.0
RWA,2012,98.0
DJI,2000,46.0
SEN,2004,87.0
SOM,2022,71.0
MUS,2005,97.0
GAB,2003,45.0
LBY,2017,97.0
MWI,2020,94.0
NAM,2014,88.0
MDG,2012,68.0
MDG,2016,68.0
MRT,2016,74.0
CIV,2013,75.0
LBR,2018,81.0
MAR,2007,95.0
UGA,2000,52.0
GHA,2002,78.0
TGO,2020,85.0
GHA,2009,94.0
MOZ,2012,80.0
SDN,2001,66.0
TZA,2008,86.0
CMR,2018,68.0
RWA,2018,97.0
NAM,2007,86.0
COG,2004,67.0
NAM,2000,79.0
RWA,2006,99.0
MAR,2024,96.0
NAM,2020,93.0
ETH,2002,35.0
MAR,2021,98.0
ZWE,2024,91.0
SYC,2004,99.0
EGY,2000,98.0
ZAF,2022,85.0
MOZ,2022,55.0
ZWE,2023,90.0
LBR,2001,44.0
MUS,2021,95.0
ETH,2023,70.0
SWZ,2024,84.0
GNB,2012,87.0
TGO,2001,50.0
BEN,2024,63.0
KEN,2010,90.0
LBY,2020,73.0
GNQ,2000,35.0
ZMB,2001,85.0
COD,2009,71.0
TUN,2006,99.0
CIV,2012,82.0
SLE,2014,83.0
TGO,2009,78.0
BDI,2013,96.0
GHA,2013,90.0
NGA,2024,67.0
SWZ,2012,95.0
BEN,2007,82.0
BFA,2017,91.0
COG,2023,78.0
STP,2007,97.0
KEN,2020,93.0
NER,2021,82.0
MOZ,2009,74.0
MLI,2004,69.0
SWZ,2023,85.0
CMR,2013,76.0
LSO,2019,92.0
SDN,2007,84.0
BFA,2016,91.0
GMB,2014,96.0
MWI,2001,90.0
MDG,2013,70.0
DJI,2024,77.0
ETH,2024,73.0
COG,2016,71.0
BWA,2014,95.0
SYC,2007,99.0
AGO,2021,55.0
EGY,2022,97.0
BDI,2015,94.0
MWI,2006,99.0
TGO,2000,64.0
RWA,2015,98.0
GIN,2010,64.0
CAF,2022,33.0
BEN,2002,75.0
BDI,2012,96.0
NGA,2020,62.0
SDN,2008,86.0
DJI,2012,81.0
SOM,2009,42.0
CAF,2002,44.0
MWI,2002,64.0
TCD,2013,39.0
TUN,2020,97.0
SSD,2017,52.0
CMR,2010,84.0
GMB,2011,96.0
SWZ,2006,87.0
MOZ,2019,85.0
GNB,2004,64.0
BFA,2013,88.0
SOM,2015,48.0
DJI,2004,64.0
COM,2016,75.0
NAM,2005,86.0
COD,2016,70.0
CPV,2004,93.0
ZMB,2008,87.0
SEN,2018,92.0
BDI,2014,95.0
ETH,2018,62.0
UGA,2021,91.0
NAM,2012,84.0
CPV,2020,93.0
COM,2008,81.0
SDN,2022,84.0
GNQ,2011,54.0
SDN,2018,93.0
SSD,2011,61.0
NER,2012,73.0
LSO,2016,87.0
MUS,2000,88.0
CMR,2022,71.0
SDN,2023,51.0
KEN,2018,91.0
CMR,2014,76.0
MRT,2001,75.0
TCD,2003,23.0
RWA,2013,98.0
AGO,2020,59.0
GAB,2011,75.0
DJI,2020,70.0
GHA,2008,93.0
GAB,2009,76.0
ETH,2020,62.0
KEN,2013,87.0
ETH,2006,46.0
SLE,2018,93.0
ERI,2001,86.0
SYC,2012,98.0
BFA,2018,91.0
GHA,2004,80.0
BEN,2012,80.0
CPV,2007,98.0
BWA,2012,95.0
ZAF,2020,84.0
SOM,2007,40.0
COD,2003,42.0
CIV,2020,72.0
ZMB,2006,81.0
DZA,2006,95.0
COM,2011,83.0
MWI,2024,91.0
COM,2010,74.0
MWI,2010,93.0
RWA,2007,97.0
GHA,2020,94.0
LBR,2004,31.0
COG,2022,78.0
SSD,2014,50.0
DZA,2002,86.0
SLE,2020,91.0
SDN,2021,84.0
DJI,2002,62.0
SLE,2007,64.0
SYC,2013,98.0
GNB,2006,71.0
AGO,2004,47.0
SSD,2013,53.0
SLE,2001,38.0
TUN,2005,98.0
BEN,2011,75.0
MLI,2022,75.0
COG,2014,90.0
COD,2010,60.0
MLI,2010,73.0
ERI,2004,98.0
ETH,2015,62.0
MOZ,2004,83.0
ZAF,2004,74.0
KEN,2015,89.0
DJI,2023,72.0
STP,2023,87.0
MDG,2004,78.0
TZA,2002,89.0
NAM,2008,83.0
ERI,2022,95.0
CPV,2012,94.0
SLE,2009,84.0
CPV,2023,93.0
MWI,2014,91.0
GNB,2010,83.0
TZA,2011,90.0
MLI,2011,66.0
DZA,2016,91.0
ETH,2016,64.0
TGO,2005,82.0
TUN,2015,98.0
TZA,2023,83.0
TZA,2007,83.0
SOM,2013,44.0
BEN,2009,79.0
DZA,2012,95.0
BDI,2016,94.0
MUS,2020,95.0
CAF,2006,51.0
TCD,2017,41.0
COM,2009,83.0
NER,2019,81.0
BFA,2002,69.0
MWI,2012,96.0
GMB,2013,97.0
LBR,2011,77.0
MAR,2000,95.0
DZA,2017,91.0
NAM,2023,83.0
ZMB,2017,94.0
SYC,2002,99.0
NER,2023,85.0
SDN,2019,93.0
GNQ,2016,53.0
MDG,2017,65.0
GAB,2006,45.0
MRT,2006,68.0
MDG,2021,55.0
BEN,2017,76.0
SYC,2014,99.0
GHA,2022,99.0
NER,2004,43.0
DJI,2007,88.0
ZMB,2000,85.0
TZA,2019,91.0
EGY,2014,94.0
ZMB,2010,83.0
COG,2013,85.0
MDG,2009,77.0
CAF,2021,35.0
BDI,2020,93.0
STP,2003,94.0
CAF,2024,42.0
COG,2012,85.0
EGY,2011,96.0
COD,2019,73.0
GMB,2005,95.0
GIN,2006,57.0
CAF,2010,45.0
KEN,2004,73.0
MDG,2014,68.0
BWA,2006,96.0
MDG,2006,85.0
BDI,2008,92.0
MWI,2011,97.0
LBR,2009,81.0
SLE,2024,91.0
LSO,2013,93.0
ERI,2009,95.0
NAM,2022,84.0
LBY,2001,94.0
DZA,2010,95.0
LBR,2022,79.0
MUS,2012,98.0
RWA,2023,94.0
NAM,2013,89.0
CIV,2017,83.0
UGA,2012,83.0
TGO,2022,86.0
CIV,2009,81.0
ZMB,2019,88.0
GAB,2018,70.0
SEN,2017,93.0
ZAF,2002,70.0
MOZ,2007,75.0
NGA,2015,42.0
GMB,2006,95.0
GNB,2002,57.0
SEN,2022,93.0
SLE,2017,90.0
LSO,2014,88.0
LSO,2007,88.0
RWA,2005,95.0
KEN,2024,91.0
MAR,2016,99.0
BDI,2010,96.0
NAM,2009,83.0
SDN,2016,93.0
TCD,2023,67.0
ZWE,2015,87.0
SOM,2008,31.0
GMB,2024,80.0
MLI,2001,49.0
BWA,2020,95.0
NAM,2021,94.0
ETH,2022,63.0
KEN,2008,88.0
UGA,2014,85.0
CAF,2008,45.0
LBR,2002,39.0
STP,2013,97.0
CPV,2021,93.0
GNQ,2009,52.0
TGO,2019,86.0
RWA,2008,97.0
SEN,2006,89.0
UGA,2006,64.0
NGA,2006,40.0
CAF,2009,42.0
LBY,2006,98.0
RWA,2024,98.0
UGA,2022,89.0
ZAF,2000,73.0
CIV,2003,62.0
SSD,2021,69.0
COD,2002,38.0
CIV,2006,77.0
ERI,2011,94.0
TZA,2020,91.0
MWI,2005,93.0
COM,2018,77.0
ZWE,2005,68.0
MOZ,2003,85.0
CIV,2001,66.0
TGO,2007,82.0
SEN,2003,73.0
EGY,2007,98.0
AGO,2016,59.0
GIN,2021,56.0
GIN,2000,46.0
SYC,2000,98.0
COG,2019,79.0
BFA,2008,93.0
MLI,2023,75.0
TCD,2008,19.0
TCD,2004,22.0
LBY,2003,95.0
SEN,2010,89.0
MDG,2015,62.0
SWZ,2007,87.0
MRT,2017,76.0
MAR,2013,99.0
TUN,2018,97.0
MAR,2010,99.0
RWA,2017,98.0
TCD,2009,26.0
MUS,2016,96.0
CAF,2007,48.0
SWZ,2019,90.0
NER,2005,45.0
MRT,2022,85.0
BWA,2018,95.0
BWA,2004,96.0
NER,2000,34.0
CPV,2014,95.0
GNQ,2015,40.0
SWZ,2004,86.0
MAR,2012,99.0
TGO,2012,84.0
GNQ,2014,53.0
ERI,2006,94.0
GMB,2008,96.0
LBY,2000,94.0
SYC,2020,97.0
SLE,2006,64.0
SLE,2005,65.0
SDN,2013,93.0
MLI,2002,61.0
NER,2011,75.0
KEN,2000,82.0
BDI,2009,94.0
ZAF,2021,86.0
GMB,2000,80.0
COG,2011,83.0
BFA,2012,90.0
TCD,2020,55.0
SDN,2015,93.0
COG,2020,73.0
COD,2012,71.0
BDI,2001,81.0
GNQ,2022,70.0
KEN,2007,81.0
SOM,2000,33.0
COM,2006,69.0
MWI,2019,95.0
AGO,2006,44.0
STP,2008,99.0
LSO,2015,83.0
TCD,2011,33.0
SWZ,2001,84.0
STP,2000,82.0
NER,2010,70.0
COM,2012,86.0
LBY,2009,98.0
ERI,2012,94.0
GIN,2005,59.0
DJI,2021,59.0
TUN,2000,97.0
GMB,2007,95.0
SYC,2023,97.0
TCD,2006,41.0
CAF,2003,47.0
BEN,2020,70.0
KEN,2005,76.0
TZA,2003,95.0
UGA,2009,79.0
TUN,2003,95.0
MAR,2022,98.0
GIN,2004,60.0
DZA,2024,92.0
MWI,2017,88.0
TCD,2018,47.0
SOM,2020,55.0
ETH,2001,32.0
UGA,2017,94.0
SOM,2006,26.0
SYC,2019,99.0
CMR,2006,81.0
CAF,2004,51.0
EGY,2004,97.0
BFA,2021,91.0
SDN,2009,81.0
TCD,2001,26.0
EGY,2015,93.0
TUN,2016,98.0
SOM,2021,62.0
NGA,2014,43.0
DZA,2001,89.0
SLE,2022,91.0
KEN,2006,80.0
ZWE,2000,78.0
SYC,2003,99.0
COM,2002,89.0
BWA,2001,97.0
SEN,2013,92.0
SLE,2002,53.0
ETH,2013,59.0
