iso3,year,nurses
RWA,2019,1492.0
MUS,2020,3450.0
MAR,2014,20947.0
NGA,2023,86642.0
GNB,2008,78.0
SSD,2018,411.0
CPV,2019,382.0
BWA,2012,819.0
UGA,2023,10177.0
KEN,2020,3887.0
BDI,2020,871.0
ETH,2019,10312.0
ZMB,2020,4818.0
NGA,2006,49612.0
TUN,2022,15103.0
KEN,2013,8682.0
BWA,2000,499.0
LBY,2014,13095.0
DJI,2006,185.0
TUN,2013,14107.0
ETH,2008,2085.0
ZAF,2019,46393.0
GHA,2004,3240.0
KEN,2010,7129.0
EGY,2020,121394.0
LBY,2015,12158.0
MLI,2006,794.0
COG,2006,782.0
ERI,2018,280.0
ZAF,2014,41132.0
ZWE,1995,1630.0
TUN,2010,12996.0
DZA,2020,83713.0
KEN,2009,6897.0
TCD,1998,156.0
SEN,2019,1435.0
GNQ,2004,153.0
BWA,2023,941.0
SWZ,2023,685.0
MRT,2022,1273.0
BFA,2009,676.0
MDG,2022,5230.0
RWA,2016,1431.0
TUN,2007,10086.0
TZA,2024,12023.0
CIV,2018,5602.0
ZAF,2024,49051.0
TGO,2007,290.0
MDG,2002,2283.0
SWZ,2003,160.0
GHA,2022,4726.0
SYC,2007,91.0
GHA,2018,4406.0
NER,2008,288.0
GIN,2005,940.0
ERI,2006,135.0
BDI,2004,200.0
ZWE,2021,2803.0
MAR,2023,29904.0
COG,2011,523.0
ZAF,2009,35707.0
COG,2022,1042.0
GNB,2020,385.0
COD,2019,15016.0
MUS,2002,1186.0
GHA,2020,5285.0
GMB,2003,156.0
GMB,2019,188.0
MWI,2009,265.0
GAB,1993,225.0
BWA,2009,693.0
COG,2018,544.0
MDG,2014,4275.0
TGO,2004,244.0
TUN,1993,5257.0
ZAF,2021,48021.0
ERI,2008,126.0
KEN,2014,9149.0
ERI,2010,129.0
TCD,2000,235.0
SYC,2021,447.0
MWI,2022,1115.0
STP,2015,63.0
MAR,2000,12439.0
BDI,2021,988.0
KEN,2024,14662.0
MDG,2003,2550.0
DZA,2003,36347.0
GAB,1991,189.0
UGA,2017,6918.0
LBY,2017,13757.0
ERI,2011,136.0
ERI,2021,286.0
ERI,2001,95.0
AGO,2017,6400.0
MUS,2016,2769.0
TUN,2016,13998.0
NER,2022,706.0
