iso3,year,gghe
TGO,2010,1.12349021
NGA,2018,0.49754828
EGY,2020,1.32617092
NER,2005,1.92018211
MAR,2010,1.74102044
COM,2006,0.6453765
RWA,2009,1.88107121
SYC,2012,4.02018118
ZAF,2008,3.38493657
AGO,2016,1.05520773
CIV,2003,0.5154925
LBY,2000,1.61668956
CAF,2006,1.22708309
COD,2020,0.63877279
UGA,2009,0.82681918
COM,2003,0.85293937
TZA,2018,1.62666011
ETH,2004,1.32566774
NER,2022,1.5349741
TCD,2018,0.46814004
CPV,2013,2.78713155
CPV,2009,2.54577112
MOZ,2013,1.49877322
ZMB,2011,1.5735333
GHA,2017,1.63058531
AGO,2020,1.46055436
SLE,2003,0.63837194
GNB,2014,0.59649962
MRT,2019,1.10124004
RWA,2002,0.75793403
BWA,2006,2.79110265
GAB,2016,2.01055074
GNQ,2018,0.81501949
SDN,2011,1.28281784
COD,2011,0.34667644
ZMB,2016,1.71430743
GNQ,2004,0.35340402
SYC,2023,3.1497128
BFA,2004,1.69977903
CIV,2022,1.49067545
ZMB,2001,1.92502928
GNQ,2013,0.61788166
SLE,2020,0.82859242
SYC,2020,4.47688675
TUN,2020,4.31212521
GIN,2012,0.51431388
COD,2016,0.53029794
ETH,2023,0.614245
BWA,2004,3.4343946
DZA,2012,4.02772284
SWZ,2003,2.91704059
COG,2022,0.80518568
ETH,2018,0.76642609
MRT,2003,0.7719968
TCD,2003,1.33923662
TGO,2000,0.29096901
MOZ,2017,1.73677838
MDG,2001,1.83291543
GAB,2001,1.26300132
TZA,2011,1.28681624
BEN,2007,0.95481884
GHA,2000,0.73089105
ZWE,2019,0.46115172
MWI,2011,1.15239477
CIV,2000,0.58689862
SSD,2023,0.50114346
LBY,2011,2.54379559
MLI,2023,1.34937346
MRT,2018,0.91096455
TGO,2003,0.37685171
SWZ,2023,3.20377994
NER,2007,1.50168717
GIN,2004,0.24164158
TUN,2009,2.97510505
EGY,2003,1.66768789
MAR,2014,2.09785223
MOZ,2010,1.24370587
TGO,2006,0.56445849
TZA,2017,1.55679071
LBY,2007,1.60953808
GMB,2016,1.2897681
STP,2020,2.96807909
UGA,2017,0.63865817
SEN,2003,1.54446924
CAF,2012,0.62262207
GMB,2015,0.99829203
SSD,2022,0.62561053
DZA,2022,1.71663105
ZWE,2014,2.73156238
BEN,2014,0.57532531
MDG,2018,1.49675477
BWA,2005,2.86616707
SWZ,2014,2.73972297
GIN,2016,0.66374409
UGA,2019,0.57344079
